src_comm_id,src_comm_title,dst_comm_id,dst_comm_title,result
303,Immunology and Rheumatology,203,Polymer and Pharmaceutical Science,0.022295128735468225
306,Infectious Diseases and Virology,413,Botany and Plant Biology,0.02202816807581065
108,Hematology,109,Heart and Cardiology,0.021109048590005
414,Chemical and Physical Engineering,507,International Business Management and Human Behavior,0.021022580540459683
205,Organometallic and Medicinal Chemistry,403,Biochemical and Ecologyical Engineering,0.020848646950449457
403,Biochemical and Ecologyical Engineering,305,Reproductive Endorinology and Metabolism,0.018681714432304788
301,"Cellular, Molecular and Genetic Boilogy",407,Neurological Science,0.018632146395506276
304,Nephrology and Biochemistry,406,"Biogeography, Ecology and Biology",0.018607638764729432
301,"Cellular, Molecular and Genetic Boilogy",15,Geomorphology,0.01842246793210662
201,Chemical Physic,413,Botany and Plant Biology,0.01789377186183246
205,Organometallic and Medicinal Chemistry,302,"Neuroscience, Cytology and Brain Science",0.01781319019992456
414,Chemical and Physical Engineering,200,Analytical Chemistry,0.017162887839036158
104,Pathology and Oncology,305,Reproductive Endorinology and Metabolism,0.01662310228622058
302,"Neuroscience, Cytology and Brain Science",204,Nanotechnology and Materical Chemistry,0.016313232210249037
413,Botany and Plant Biology,408,Marine Biology and Ecology,0.016098135524666133
109,Heart and Cardiology,407,Neurological Science,0.015483692294135603
504,"Psychology, Behavioristics and Pedagogy",301,"Cellular, Molecular and Genetic Boilogy",0.015301694139169531
203,Polymer and Pharmaceutical Science,302,"Neuroscience, Cytology and Brain Science",0.013889165754698845
302,"Neuroscience, Cytology and Brain Science",507,International Business Management and Human Behavior,0.012157156608302567
108,Hematology,306,Infectious Diseases and Virology,0.011970686820290887
15,Geomorphology,204,Nanotechnology and Materical Chemistry,0.011830995840075699
305,Reproductive Endorinology and Metabolism,200,Analytical Chemistry,0.010740614935587763
102,Pharmacy and Public Health,203,Polymer and Pharmaceutical Science,0.0098595621282076
306,Infectious Diseases and Virology,502,Psychiatry,0.009779570264210238
104,Pathology and Oncology,502,Psychiatry,0.009718325687229431
201,Chemical Physic,15,Geomorphology,0.009397041636154917
302,"Neuroscience, Cytology and Brain Science",108,Hematology,0.00934962139279583
304,Nephrology and Biochemistry,408,Marine Biology and Ecology,0.00916971255681802
108,Hematology,203,Polymer and Pharmaceutical Science,0.009099488034716805
302,"Neuroscience, Cytology and Brain Science",109,Heart and Cardiology,0.008839076490896599
408,Marine Biology and Ecology,306,Infectious Diseases and Virology,0.008700732036140899
413,Botany and Plant Biology,204,Nanotechnology and Materical Chemistry,0.00839641867699586
109,Heart and Cardiology,502,Psychiatry,0.00759802773672224
204,Nanotechnology and Materical Chemistry,406,"Biogeography, Ecology and Biology",0.007594369720937443
104,Pathology and Oncology,302,"Neuroscience, Cytology and Brain Science",0.007566414421021521
303,Immunology and Rheumatology,502,Psychiatry,0.007332655728183534
403,Biochemical and Ecologyical Engineering,302,"Neuroscience, Cytology and Brain Science",0.0071712747314914465
505,Child Development and Adolescence Research,407,Neurological Science,0.006816621813540904
108,Hematology,502,Psychiatry,0.00660379736886205
104,Pathology and Oncology,306,Infectious Diseases and Virology,0.006558750723909779
300,Micrology and Boichemistry,504,"Psychology, Behavioristics and Pedagogy",0.00596981989595658
204,Nanotechnology and Materical Chemistry,306,Infectious Diseases and Virology,0.005937734453287723
1,Applied Algebra and Methematic,200,Analytical Chemistry,0.005928532604127559
303,Immunology and Rheumatology,109,Heart and Cardiology,0.005857496586675306
202,"Physical, Mathematical and Engineering Science",403,Biochemical and Ecologyical Engineering,0.005629074859240334
407,Neurological Science,303,Immunology and Rheumatology,0.005579413477858758
406,"Biogeography, Ecology and Biology",414,Chemical and Physical Engineering,0.005471195403419604
305,Reproductive Endorinology and Metabolism,504,"Psychology, Behavioristics and Pedagogy",0.005278543273956914
505,Child Development and Adolescence Research,301,"Cellular, Molecular and Genetic Boilogy",0.005162307698390196
205,Organometallic and Medicinal Chemistry,305,Reproductive Endorinology and Metabolism,0.004677590595014479
303,Immunology and Rheumatology,205,Organometallic and Medicinal Chemistry,0.004483999564654463
204,Nanotechnology and Materical Chemistry,108,Hematology,0.004418287211762976
202,"Physical, Mathematical and Engineering Science",15,Geomorphology,0.004251520528832478
203,Polymer and Pharmaceutical Science,306,Infectious Diseases and Virology,0.004195280217021982
202,"Physical, Mathematical and Engineering Science",304,Nephrology and Biochemistry,0.0041115255489193436
102,Pharmacy and Public Health,504,"Psychology, Behavioristics and Pedagogy",0.00406118150022334
15,Geomorphology,302,"Neuroscience, Cytology and Brain Science",0.003974713882371277
507,International Business Management and Human Behavior,505,Child Development and Adolescence Research,0.003909325702591001
302,"Neuroscience, Cytology and Brain Science",202,"Physical, Mathematical and Engineering Science",0.003888627378182051
300,Micrology and Boichemistry,505,Child Development and Adolescence Research,0.0037508050970536605
305,Reproductive Endorinology and Metabolism,15,Geomorphology,0.0037369704533472374
504,"Psychology, Behavioristics and Pedagogy",306,Infectious Diseases and Virology,0.0036021241601610662
109,Heart and Cardiology,104,Pathology and Oncology,0.003593324104248532
504,"Psychology, Behavioristics and Pedagogy",104,Pathology and Oncology,0.0035869168960001104
305,Reproductive Endorinology and Metabolism,204,Nanotechnology and Materical Chemistry,0.0034853770403821776
306,Infectious Diseases and Virology,205,Organometallic and Medicinal Chemistry,0.00341817401511515
204,Nanotechnology and Materical Chemistry,104,Pathology and Oncology,0.0032691708387128106
200,Analytical Chemistry,408,Marine Biology and Ecology,0.003241027220088842
414,Chemical and Physical Engineering,301,"Cellular, Molecular and Genetic Boilogy",0.003032468769276202
511,Marketing and Consumer Psychology,305,Reproductive Endorinology and Metabolism,0.003010327946196118
511,Marketing and Consumer Psychology,302,"Neuroscience, Cytology and Brain Science",0.003000065544503157
1,Applied Algebra and Methematic,302,"Neuroscience, Cytology and Brain Science",0.002952437905024829
104,Pathology and Oncology,413,Botany and Plant Biology,0.002923547249123378
305,Reproductive Endorinology and Metabolism,108,Hematology,0.002904152217633476
205,Organometallic and Medicinal Chemistry,15,Geomorphology,0.0026101968991323844
504,"Psychology, Behavioristics and Pedagogy",403,Biochemical and Ecologyical Engineering,0.0025826994315451316
305,Reproductive Endorinology and Metabolism,407,Neurological Science,0.0025756624340574014
302,"Neuroscience, Cytology and Brain Science",306,Infectious Diseases and Virology,0.00242788386573665
414,Chemical and Physical Engineering,408,Marine Biology and Ecology,0.002340776645051074
200,Analytical Chemistry,306,Infectious Diseases and Virology,0.002295121036913093
