source,target
141702,123912
14694,171901
141702,93512
172239,116303
141702,91116
141702,67846
141702,95271
141702,92175
141702,119405
15698,91221
172239,172237
15698,170147
15698,171982
172239,20234
15698,95271
141702,128328
141702,177153
171982,95271
14694,95272
141702,120614
141702,119426
141702,115615
35361,89613
15757,15741
141702,179738
14694,75476
141702,119420
141702,177029
141702,115349
141702,119396
15698,25894
171982,25894
141702,133752
141702,42911
141702,119409
79349,21667
141702,93686
14694,89613
141702,119383
141702,125377
141702,119380
141702,24630
14694,18931
141702,119457
141702,16815
141702,119449
141702,26448
141702,177296
141702,46782
14694,16599
35361,16599
15698,15834
15698,156644
15698,90532
151216,91285
141702,24066
14694,59020
35361,91304
141702,78004
141702,46763
15698,57270
141702,25677
141702,68225
141702,115264
141702,119422
141702,120168
141702,119452
171982,15698
35361,128232
141702,190957
35361,14814
141702,80660
141702,61078
87002,95038
141702,177288
171982,156644
141702,155407
171982,16100
35361,32464
141702,59066
35361,165016
141702,128321
14694,171923
15698,15712
141702,24040
171982,31864
35361,27528
141702,144466
14694,14843
141702,32038
141702,128325
141702,119445
126841,126842
90831,133446
14694,22100
141702,171945
141702,16858
35361,171903
15698,53629
87002,59420
141702,16100
171982,170147
141702,93659
15757,170147
15698,90585
141702,119446
141702,59893
141702,177044
141702,175167
171982,15834
141702,91119
141702,119436
141702,90855
35361,18931
15698,119494
15698,155312
172239,145577
35361,47561
171982,155312
171982,141702
151216,191805
15757,171982
15698,15757
171982,91221
15698,185546
141702,16702
141702,119458
35361,21974
15757,15698
141702,46784
141702,31343
35361,18923
171982,98117
141702,92382
141702,16868
35361,78069
141702,128329
141702,171918
35361,14857
194417,133752
141702,59186
141702,68161
141702,119448
141702,59146
141702,27049
141702,15712
141702,68199
15698,98117
15698,18313
171982,32038
141702,52385
141702,133022
141702,119434
141702,47620
171982,119494
85912,27049
15698,32038
15698,51315
141702,141832
35361,183841
35361,40842
35361,27543
87002,189561
35361,86072
141702,15741
174980,177107
35361,128594
141702,115310
141702,29120
14694,89612
176681,96398
14694,32464
15698,16100
141702,30767
141702,27121
35361,95283
141702,55685
15698,31864
14694,171938
141702,166411
15698,91223
15757,91221
35361,34513
141702,119384
126841,85190
15698,94569
126841,93878
141702,94759
172239,119494
141702,141849
35361,18912
79349,79199
85912,93659
15698,177291
141702,131732
141702,119418
15698,63404
151216,57270
141702,92384
15698,161231
85912,141702
35361,59340
15698,53718
15698,15803
141702,16852
15698,141702
141702,95213
171982,97678
141702,52296
14694,95290
94351,41986
35361,128328
126841,91974
141702,18891
15698,147453
35361,89612
171982,118181
172239,16814
141702,16823
15698,94047
141702,128319
141702,30746
141702,118181
141702,98117
171982,177288
141702,51324
15757,95271
35361,27463
141702,93409
141702,4461
141702,112946
141702,187065
171982,15712
141702,68299
141702,128323
57231,92504
141702,177291
35361,14869
141702,121628
141702,68426
171982,3351
35361,67271
